# ID            Ra                 Dec                 Field            M_UV                zbest              zphot              zspec  ref                                   isBL Xray index MBH                Lbol                 
  66007         34.22810058989839  -5.098143957617616  UDS              -16.577231955645733 4.596338272094727  4.596338272094727  0.0    Kokorev24                             0    0    44    -99.0              1.0273544580173337E43
  64273         34.228526240834974 -5.101526094376732  UDS              -16.571539656596613 7.1315598487854    7.1315598487854    0.0    Kokorev24/Kocevski24                  0    0    45    -99.0              1.0226434570928978E43
  147765        34.229124          -5.097348           UDS              -18.34              5.05               5.05               0.0    Kocevski24                            0    0    46    -99.0              4.3766338510682693E43
  34633         34.230889          -5.24953            UDS              -17.75              2.44               2.44               0.0    Kocevski24                            0    0    47    -99.0              2.6791953302499307E43
  173887        34.238463          -5.140396           UDS              -19.19              10.0               10.0               0.0    Kocevski24                            0    0    48    -99.0              8.960340736347188E43 
  32438         34.241809          -5.239401           UDS              -16.77              3.5                3.5                3.5    Kocevski24                            2    0    49    7.36               1.2007620706994132E43
  77750         34.243692          -5.271402           UDS              -18.21              6.97               6.97               0.0    Kocevski24                            0    0    50    -99.0              3.926187975574014E43 
  33823         34.24419           -5.245834           UDS              -18.09              3.1                3.1                3.1    Kocevski24/wang24                     2    0    51    8.29               3.5524940312844474E43
  7830          34.24644704030055  -5.303397372461857  UDS              -18.498528016985617 5.54536247253418   5.54536247253418   0.0    Kokorev24/Kocevski24                  0    0    52    -99.0              4.998224731554975E43 
  30191         34.24697565603606  -5.262728212675196  UDS              -18.398749253377293 4.036579132080078  4.036579132080078  0.0    Kokorev24                             0    0    53    -99.0              4.597211943445084E43 
  33774         34.24782824156703  -5.151996752625728  UDS              -18.953017296665106 7.137637138366699  7.137637138366699  0.0    Kokorev24/Kocevski24                  0    0    54    -99.0              7.329823441313445E43 
  66751         34.254151          -5.290015           UDS              -19.32              10.54              10.54              0.0    Kocevski24                            0    0    55    -99.0              1.000750519863177E44 
  116251        34.260537          -5.20912            UDS              -17.81              5.36               5.36               5.36   Kocevski24/Kokorev24/Kokorev24        2    0    56    6.83               2.815581641136284E43 
  69921         34.26162479642979  -5.0893585216531125 UDS              -18.751775072437603 5.654876708984375  5.654876708984375  0.0    Kokorev24/Kocevski24                  0    0    57    -99.0              6.184443755392095E43 
  14388         34.262847          -5.152974           UDS              -19.7               6.97               6.97               0.0    Kocevski24                            0    0    58    -99.0              1.3842891404649719E44
  191777        34.263345          -5.095113           UDS              -18.46              7.33               7.33               0.0    Kocevski24                            0    0    59    -99.0              4.839304464753883E43 
  31092         34.264581          -5.232544           UDS              -19.72              5.68               5.68               5.68   Kocevski24/Kokorev24                  2    0    60    7.45               1.4082067996872025E44
  53667         34.26703329974927  -5.120073981052057  UDS              -18.428622831993586 4.563920497894287  4.563920497894287  0.0    Kokorev24/Kocevski24                  0    0    61    -99.0              4.713700717054374E43 
  18892         34.268908020655076 -5.176721823124139  UDS              -17.341007529473167 4.729468822479248  4.729468822479248  0.0    Kokorev24                             0    0    62    -99.0              1.9129233552989513E43
  152026        34.269194          -5.105731           UDS              -18.88              7.42               7.42               0.0    Kocevski24                            0    0    63    -99.0              6.891102613990651E43 
  9104          34.27028437686357  -5.300719530590461  UDS              -18.756118164337515 6.093060493469238  6.093060493469238  0.0    Kokorev24/Kocevski24                  0    0    64    -99.0              6.207123949188475E43 
  55783         34.270711521139155 -5.2176792889822154 UDS              -19.292877225315063 4.626031398773193  4.626031398773193  0.0    Kokorev24/Kocevski24                  0    0    65    -99.0              9.779178156901662E43 
  36327         34.27604159504762  -5.148030618101284  UDS              -18.292014047995963 7.861698150634766  7.861698150634766  0.0    Kokorev24/Kocevski24                  0    0    66    -99.0              4.20451181970289E43  
  48927         34.277044585960994 -5.128335591767835  UDS              -18.20856778380715  7.9073028564453125 7.9073028564453125 0.0    Kokorev24/Kocevski24                  0    0    67    -99.0              3.9214986376090046E43
  144975        34.280568          -5.159733           UDS              -18.18              7.45               7.45               0.0    Kocevski24                            0    0    68    -99.0              3.8291497232256237E43
  139224        34.281684          -5.169136           UDS              -17.7               7.0                7.0                0.0    Kocevski24                            0    0    69    -99.0              2.5707157613765524E43
  21988         34.283363          -5.186535           UDS              -19.84              7.45               7.45               0.0    Kocevski24                            0    0    70    -99.0              1.5608205249913956E44
  62612         34.283372          -5.296272           UDS              -19.6               7.42               7.42               0.0    Kocevski24                            0    0    71    -99.0              1.2707611170276104E44
  33438         34.28364           -5.243915           UDS              -18.44              3.82               3.82               0.0    Kocevski24                            0    0    72    -99.0              4.758854221273419E43 
  104993        34.288022          -5.227692           UDS              -17.87              6.55               6.55               0.0    Kocevski24                            0    0    73    -99.0              2.959083899289472E43 
  183087        34.2914            -5.153348           UDS              -16.87              5.26               5.26               0.0    Kocevski24                            0    0    74    -99.0              1.3022767210259226E43
  69936         34.29256639351791  -5.089318798905567  UDS              -19.360973701872858 7.033966541290283  7.033966541290283  0.0    Kokorev24/Kocevski24                  0    0    75    -99.0              1.0362787622905987E44
  29392         34.29312046883255  -5.264069605027436  UDS              -19.271040134684796 7.470963478088379  7.470963478088379  0.0    Kokorev24                             0    0    76    -99.0              9.59921150676739E43  
  7991          34.293687121322456 -5.196476661896288  UDS              -18.470757189852172 5.655741214752197  5.655741214752197  0.0    Kokorev24/Kokorev24                   0    0    77    -99.0              4.883148938302246E43 
  35111         34.296003362134044 -5.149896222259397  UDS              -19.199213482768474 5.656314373016357  5.656314373016357  0.0    Kokorev24/Kocevski24                  0    0    78    -99.0              9.030734256812246E43 
  33445         34.29753202893787  -5.257188779490052  UDS              -18.866956947243903 4.345759868621826  4.345759868621826  0.0    Kokorev24                             0    0    79    -99.0              6.8156017570911E43   
  22358         34.304991747702566 -5.275421459133497  UDS              -18.482651859367174 4.676494598388672  4.676494598388672  0.0    Kokorev24/Kocevski24                  0    0    80    -99.0              4.932102480010523E43 
  44877         34.306548          -5.297159           UDS              -17.88              2.8                2.8                0.0    Kocevski24                            0    0    81    -99.0              2.983719104349601E43 
  92160         34.310556          -5.24988            UDS              -18.11              7.45               7.45               0.0    Kocevski24                            0    0    82    -99.0              3.6121524589388176E43
  14258         34.31149088115438  -5.290993924304488  UDS              -18.495280508337014 5.471871376037598  5.471871376037598  0.0    Kokorev24                             0    0    83    -99.0              4.984625942825352E43 
  119639        34.312143          -5.202546           UDS              -17.65              6.52               6.52               6.52   Kocevski24                            2    0    84    7.82               2.466729328061877E43 
  29881         34.313132          -5.226765           UDS              -18.06              6.17               6.17               6.17   Kocevski24/Kokorev24                  2    0    85    7.52               3.4648902453593573E43
  13468         34.315038          -5.149331           UDS              -21.08              6.97               6.97               0.0    Kocevski24                            0    0    86    -99.0              4.5675541045802124E44
  113436        34.323597          -5.214154           UDS              -20.13              7.84               7.84               0.0    Kocevski24                            0    0    87    -99.0              2.003012371173556E44 
  89614         34.324099          -5.252779           UDS              -18.16              5.38               5.38               0.0    Kocevski24                            0    0    88    -99.0              3.765823508356518E43 
  72386         34.330303          -5.281233           UDS              -19.66              8.89               8.89               0.0    Kocevski24                            0    0    89    -99.0              1.3376872532131148E44
  105042        34.330528          -5.227622           UDS              -17.65              6.04               6.04               0.0    Kocevski24                            0    0    90    -99.0              2.466729328061877E43 
  48982         34.33123035997706  -5.229861833950647  UDS              -18.45270954545382  5.387849807739258  5.387849807739258  0.0    Kokorev24/Kocevski24                  0    0    91    -99.0              4.809818742007312E43 
  29106         34.331642955166934 -5.159233119107454  UDS              -18.95426883204738  5.204842567443848  5.204842567443848  0.0    Kokorev24                             0    0    92    -99.0              7.337586831149608E43 
  32880         34.33242917035397  -5.258098716321886  UDS              -18.4068519829054   4.755955696105957  4.755955696105957  0.0    Kokorev24                             0    0    93    -99.0              4.628513765117559E43 
  4828          34.334611          -5.110271           UDS              -19.55              4.51               4.51               0.0    Kocevski24                            0    0    94    -99.0              1.21760005859034E44  
  120405        34.339751          -5.201218           UDS              -17.39              3.91               3.91               0.0    Kocevski24                            0    0    95    -99.0              1.99140746947564E43  
  54603         34.34025165777664  -5.118707167823379  UDS              -18.705537098158988 5.651866912841797  5.651866912841797  0.0    Kokorev24/Kocevski24                  0    0    96    -99.0              5.948165774024336E43 
  135543        34.340967          -5.175472           UDS              -18.77              8.32               8.32               0.0    Kocevski24                            0    0    97    -99.0              6.280187979110965E43 
  45383         34.34392799518837  -5.236677392605615  UDS              -17.512081162343055 4.855165481567383  4.855165481567383  0.0    Kokorev24/Kocevski24                  0    0    98    -99.0              2.201654392669421E43 
  45637         34.34400293702269  -5.236179141373149  UDS              -19.72739182626517  4.536287307739258  4.536287307739258  0.0    Kokorev24/Kocevski24                  0    0    99    -99.0              1.4171527009009485E44
  24081         34.34620665884841  -5.168197042479149  UDS              -18.423810857378186 5.656405448913574  5.656405448913574  0.0    Kokorev24/Kocevski24                  0    0    100   -99.0              4.69473503654107E43  
  81866         34.352438          -5.264601           UDS              -18.76              7.42               7.42               0.0    Kocevski24                            0    0    101   -99.0              6.227467285752599E43 
  57944         34.35325571098699  -5.11226685839519   UDS              -18.39299451975264  5.289790153503418  5.289790153503418  0.0    Kokorev24/Kocevski24                  0    0    102   -99.0              4.575112201295232E43 
  33898         34.35550806508812  -5.256449826079847  UDS              -18.168545470694003 4.5452728271484375 4.5452728271484375 0.0    Kokorev24                             0    0    103   -99.0              3.7927490197814423E43
  71893         34.356130376619554 -5.084246459987784  UDS              -18.516175992769384 6.4291839599609375 6.4291839599609375 0.0    Kokorev24                             0    0    104   -99.0              5.072790466391247E43 
  118593        34.357374          -5.204709           UDS              -19.33              7.66               7.66               0.0    Kocevski24                            0    0    105   -99.0              1.009305306477385E44 
  42014         34.36071841832473  -5.139081941674189  UDS              -18.116158945583226 4.551596164703369  4.551596164703369  0.0    Kokorev24                             0    0    106   -99.0              3.630729760567506E43 
  21108         34.36296344400555  -5.17319980462139   UDS              -18.093206991564905 7.136404514312744  7.136404514312744  0.0    Kokorev24/Kocevski24                  0    0    107   -99.0              3.561991947209824E43 
  18804         34.363515044768505 -5.176963791951121  UDS              -19.21290064350012  4.317291259765625  4.317291259765625  0.0    Kokorev24/Kocevski24                  0    0    108   -99.0              9.136350753250528E43 
  84401         34.363537          -5.260795           UDS              -17.57              5.47               5.47               0.0    Kocevski24                            0    0    109   -99.0              2.309226025940245E43 
  17986         34.366903086588984 -5.28418784780142   UDS              -19.85290693743861  4.9401140213012695 4.9401140213012695 0.0    Kokorev24/Kocevski24                  0    0    110   -99.0              1.578208209039199E44 
  3992          34.36730351221929  -5.204195880674563  UDS              -18.533085406094962 5.659328460693359  5.659328460693359  0.0    Kokorev24/Kokorev24/Kocevski24        0    0    111   -99.0              5.145302160063565E43 
  57494         34.36877729836944  -5.214285317247173  UDS              -20.2558488745766   4.023993492126465  4.023993492126465  0.0    Kokorev24/Kocevski24                  0    0    112   -99.0              2.2327491854344574E44
  3510          34.368949          -5.103948           UDS              -18.81              5.92               5.92               0.0    Kocevski24                            0    0    113   -99.0              6.495669620155091E43 
  31581         34.369660395452605 -5.1551482967237865 UDS              -17.628899792659244 4.163408279418945  4.163408279418945  0.0    Kokorev24                             0    0    114   -99.0              2.424148497498364E43 
  44435         34.37030725185898  -5.238639648434586  UDS              -17.132449316810934 5.17327356338501   5.17327356338501   0.0    Kokorev24                             0    0    115   -99.0              1.6127043257678432E43
  55634         34.37214013256284  -5.217964106077201  UDS              -20.151941497626616 6.879805088043213  6.879805088043213  0.0    Kokorev24                             0    0    116   -99.0              2.041263285270274E44 
  1072          34.3722360084715   -5.210033954791225  UDS              -18.94834143055418  8.905960083007812  8.905960083007812  0.0    Kokorev24/Kokorev24/Kocevski24        0    0    117   -99.0              7.300892706019866E43 
  55902         34.3723692861514   -5.115911848045463  UDS              -18.158123577049885 8.67038631439209   8.67038631439209   0.0    Kokorev24/Kocevski24                  0    0    118   -99.0              3.759937403421825E43 
  51593         34.37359814355506  -5.225203398424738  UDS              -17.470290655999275 4.457850933074951  4.457850933074951  0.0    Kokorev24                             0    0    119   -99.0              2.1272366679187785E43
  75424         34.374826          -5.27553            UDS              -17.26              5.17               5.17               0.0    Kocevski24                            0    0    120   -99.0              1.7900361691394536E43
  4396          34.374881          -5.108179           UDS              -19.09              5.83               5.83               0.0    Kocevski24                            0    0    121   -99.0              8.231371010779828E43 
  47164         34.376136          -5.31038            UDS              -19.41              7.96               7.96               0.0    Kocevski24                            0    0    122   -99.0              1.0804842872884836E44
  1544          34.37741275217305  -5.209022814691235  UDS              -18.84488729177078  5.463461875915527  5.463461875915527  0.0    Kokorev24/Kokorev24                   0    0    123   -99.0              6.689767519045063E43 
  46081         34.381664          -5.303754           UDS              -17.73              4.51               4.51               0.0    Kocevski24                            0    0    124   -99.0              2.635251827820459E43 
  43932         34.386713074172285 -5.136108226081832  UDS              -18.820637438275337 4.235387802124023  4.235387802124023  0.0    Kokorev24                             0    0    125   -99.0              6.554234664490733E43 
  52856         34.38713641481489  -5.121605238050311  UDS              -19.206664201164383 6.320851802825928  6.320851802825928  0.0    Kokorev24                             0    0    126   -99.0              9.08807211132429E43  
  21488         34.391941288626334 -5.276929475632448  UDS              -19.45355383036247  5.413991928100586  5.413991928100586  0.0    Kokorev24/Kocevski24                  0    0    127   -99.0              1.121366356789892E44 
  30520         34.39279305787786  -5.262175958673707  UDS              -18.550246169587687 5.349781036376953  5.349781036376953  0.0    Kokorev24                             0    0    128   -99.0              5.219974997801559E43 
  61298         34.39440513225522  -5.106746992298238  UDS              -17.735209954683214 5.24259614944458   5.24259614944458   0.0    Kokorev24/Kocevski24                  0    0    129   -99.0              2.6466274416125085E43
  78549         34.395652          -5.270093           UDS              -18.93              6.13               6.13               0.0    Kocevski24                            0    0    130   -99.0              7.18853040841885E43  
  23107         34.3965085751051   -5.274229901107692  UDS              -17.47744406286774  4.952512741088867  4.952512741088867  0.0    Kokorev24                             0    0    131   -99.0              2.1397897621423159E43
  62716         34.39679207216778  -5.104411139932186  UDS              -19.215492910727345 5.386734962463379  5.386734962463379  0.0    Kokorev24                             0    0    132   -99.0              9.156495351217227E43 
  170710        34.397467          -5.135125           UDS              -17.25              7.6                7.6                0.0    Kocevski24                            0    0    133   -99.0              1.7754377906956306E43
  41039         34.398885          -5.277552           UDS              -18.27              4.69               4.69               0.0    Kocevski24                            0    0    134   -99.0              4.127880358514591E43 
  14419         34.39917769351939  -5.184322969859979  UDS              -17.843655823805097 4.816784381866455  4.816784381866455  0.0    Kokorev24                             0    0    135   -99.0              2.8951762980196627E43
  37878         34.40181687272715  -5.25016724014793   UDS              -18.44031234984277  4.773196697235107  4.773196697235107  0.0    Kokorev24                             0    0    136   -99.0              4.760100086346626E43 
  117853        34.40233           -5.206125           UDS              -16.86              5.44               5.44               0.0    Kocevski24                            0    0    137   -99.0              1.2917407176442787E43
  1939          34.40309780563553  -5.208186294435946  UDS              -17.77694359574886  4.362056732177734  4.362056732177734  0.0    Kokorev24/Kokorev24/Kocevski24        0    0    138   -99.0              2.73958414234164E43  
  151408        34.404447          -5.104179           UDS              -18.91              11.38              11.38              0.0    Kocevski24                            0    0    139   -99.0              7.068017588703187E43 
  33332         34.404984092098026 -5.152606688880327  UDS              -19.0749774885047   4.541976451873779  4.541976451873779  0.0    Kokorev24/Kocevski24                  0    0    140   -99.0              8.127209764715261E43 
  52581         34.40539228360383  -5.223527645703455  UDS              -18.267739337359817 6.166954040527344  6.166954040527344  0.0    Kokorev24                             0    0    141   -99.0              4.1200922264764744E43
  36872         34.4070890500239   -5.251666396435935  UDS              -18.298870973293397 7.135115146636963  7.135115146636963  0.0    Kokorev24/Kocevski24                  0    0    142   -99.0              4.2286768713400213E43
  76730         34.407514          -5.273147           UDS              -17.74              5.2                5.2                0.0    Kocevski24                            0    0    143   -99.0              2.6571305709673174E43
  23575         34.408019900593665 -5.16914658540713   UDS              -18.19893992381785  5.660595417022705  5.660595417022705  0.0    Kokorev24/Kocevski24                  0    0    144   -99.0              3.890123583840329E43 
  344           34.40956852094387  -5.322041059049387  UDS              -18.435521851204093 7.13539457321167   7.13539457321167   0.0    Kokorev24/Kocevski24                  0    0    145   -99.0              4.7410288952853E43   
  32986         34.41140073334921  -5.153087888601745  UDS              -17.762346484528152 4.15274715423584   4.15274715423584   0.0    Kokorev24                             0    0    146   -99.0              2.7066965635503414E43
  177350        34.411921          -5.144804           UDS              -18.23              7.63               7.63               0.0    Kocevski24                            0    0    147   -99.0              3.992274097591895E43 
  44681         34.41782169195119  -5.134841768801986  UDS              -17.84414448443324  4.5811662673950195 4.5811662673950195 0.0    Kokorev24                             0    0    148   -99.0              2.8963487730159635E43
  39711         34.41973629558163  -5.247058526889604  UDS              -18.15637922733944  5.4619550704956055 5.4619550704956055 0.0    Kokorev24                             0    0    149   -99.0              3.754474035959237E43 
  32237         34.41985984195683  -5.154215136324553  UDS              -19.028361620570273 4.612168312072754  4.612168312072754  0.0    Kokorev24                             0    0    150   -99.0              7.812470872666747E43 
  11501         34.42092682322444  -5.296163912928651  UDS              -20.01098619760709  4.679971694946289  4.679971694946289  0.0    Kokorev24/Kocevski24                  0    0    151   -99.0              1.8078753482578985E44
  37557         34.42231096893665  -5.250702720659581  UDS              -19.7382513588335   5.655717849731445  5.655717849731445  0.0    Kokorev24/Kocevski24                  0    0    152   -99.0              1.4304004467912497E44
  151980        34.422908          -5.104757           UDS              -18.8               10.48              10.48              0.0    Kocevski24                            0    0    153   -99.0              6.441101285960554E43 
